날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2020-05-08 07,서울 중구,중구,111121,.003,.3,.018,.031,14,8
2020-05-08 08,서울 중구,중구,111121,.002,.3,.022,.029,15,5
2020-05-08 09,서울 중구,중구,111121,.002,.3,.023,.029,14,7
2020-05-08 10,서울 중구,중구,111121,.002,.4,.03,.023,15,6
2020-05-08 11,서울 중구,중구,111121,.002,.3,.033,.022,17,9
2020-05-08 12,서울 중구,중구,111121,.002,.3,.04,.019,17,9
2020-05-08 13,서울 중구,중구,111121,.003,.4,.043,.018,15,10
2020-05-08 14,서울 중구,중구,111121,.002,.3,.043,.02,14,8
2020-05-08 15,서울 중구,중구,111121,.002,.3,.046,.02,15,4
2020-05-08 16,서울 중구,중구,111121,.003,.3,.048,.028,34,18
2020-05-08 17,서울 중구,중구,111121,.003,.3,.046,.032,40,24
2020-05-08 18,서울 중구,중구,111121,.004,.4,.043,.03,37,19
2020-05-08 19,서울 중구,중구,111121,.003,.4,.043,.031,32,19
2020-05-08 20,서울 중구,중구,111121,.003,.5,.033,.042,36,19
2020-05-08 21,서울 중구,중구,111121,.003,.5,.023,.05,38,21
2020-05-08 22,서울 중구,중구,111121,.003,.4,.029,.033,33,21
2020-05-08 23,서울 중구,중구,111121,.002,.4,.033,.022,31,24
2020-05-08 24,서울 중구,중구,111121,.002,.4,.034,.018,37,21
2020-05-09 01,서울 중구,중구,111121,.002,.4,.032,.019,22,18
2020-05-09 02,서울 중구,중구,111121,.002,.4,.032,.016,22,17
2020-05-09 03,서울 중구,중구,111121,.003,.3,.034,.011,20,16
2020-05-09 04,서울 중구,중구,111121,.002,.3,.034,.009,23,16
2020-05-09 05,서울 중구,중구,111121,.002,.3,.034,.008,15,13
2020-05-09 06,서울 중구,중구,111121,.002,.3,.027,.014,13,10
2020-05-09 07,서울 중구,중구,111121,.002,.3,.023,.018,12,8
2020-05-09 08,서울 중구,중구,111121,.002,.3,.019,.021,10,6
2020-05-09 09,서울 중구,중구,111121,.002,.4,.022,.018,10,4
2020-05-09 10,서울 중구,중구,111121,.002,.3,.02,.019,13,4
2020-05-09 11,서울 중구,중구,111121,.002,.3,.017,.022,7,2
2020-05-09 12,서울 중구,중구,111121,.002,.4,.019,.02,6,4
2020-05-09 13,서울 중구,중구,111121,.002,.3,.019,.018,17,4
2020-05-09 14,서울 중구,중구,111121,.002,.4,.017,.02,14,4
2020-05-09 15,서울 중구,중구,111121,.002,.4,.013,.023,8,3
2020-05-09 16,서울 중구,중구,111121,.002,.4,.011,.024,21,6
2020-05-09 17,서울 중구,중구,111121,.002,.4,.012,.022,20,5
2020-05-09 18,서울 중구,중구,111121,.002,.3,.026,.012,8,7
2020-05-09 19,서울 중구,중구,111121,.002,.3,.027,.014,13,13
2020-05-09 20,서울 중구,중구,111121,.002,.4,.024,.016,12,9
2020-05-09 21,서울 중구,중구,111121,.002,.4,.028,.012,9,6
2020-05-09 22,서울 중구,중구,111121,.002,.3,.032,.01,7,6
2020-05-09 23,서울 중구,중구,111121,.002,.4,.03,.013,10,7
2020-05-09 24,서울 중구,중구,111121,.002,.5,.023,.02,14,11
2020-05-10 01,서울 중구,중구,111121,.002,.3,.033,.009,8,7
2020-05-10 02,서울 중구,중구,111121,.002,.4,.033,.008,8,7
2020-05-10 03,서울 중구,중구,111121,.002,.4,.032,.008,14,9
2020-05-10 04,서울 중구,중구,111121,.002,.4,.033,.007,8,7
2020-05-10 05,서울 중구,중구,111121,.002,.3,.034,.007,6,6
2020-05-10 06,서울 중구,중구,111121,.002,.3,.035,.007,8,7
2020-05-10 07,서울 중구,중구,111121,.002,.3,.031,.01,13,12
2020-05-10 08,서울 중구,중구,111121,.002,.4,.028,.012,14,12
2020-05-10 09,서울 중구,중구,111121,.002,.4,.025,.015,16,15
2020-05-10 10,서울 중구,중구,111121,.002,.4,.025,.016,16,14
2020-05-10 11,서울 중구,중구,111121,.002,.4,.024,.017,15,13
2020-05-10 12,서울 중구,중구,111121,.002,.4,.027,.016,15,13
2020-05-10 13,서울 중구,중구,111121,.003,.4,.028,.018,18,14
2020-05-10 14,서울 중구,중구,111121,.002,.4,.027,.019,17,15
2020-05-10 15,서울 중구,중구,111121,.002,.4,.03,.014,16,15
2020-05-10 16,서울 중구,중구,111121,.002,.4,.032,.012,17,14
2020-05-10 17,서울 중구,중구,111121,.002,.6,.038,.012,35,29
2020-05-10 18,서울 중구,중구,111121,.002,.6,.038,.013,48,37
2020-05-10 19,서울 중구,중구,111121,.002,.7,.039,.016,52,40
2020-05-10 20,서울 중구,중구,111121,.002,.8,.041,.017,64,50
2020-05-10 21,서울 중구,중구,111121,.003,.7,.046,.013,73,54
2020-05-10 22,서울 중구,중구,111121,.002,.7,.042,.016,62,48
2020-05-10 23,서울 중구,중구,111121,.002,.6,.041,.013,52,41
2020-05-10 24,서울 중구,중구,111121,.002,.6,.039,.012,40,31
2020-05-11 01,서울 중구,중구,111121,.002,.6,.04,.01,37,27
